2016-10-23 00:01:54,316 |OFBiz-JobPoller      |GenericDAO                    |T| Ran query in 411 milli-seconds:  EntityName: JobSandbox Sql: SELECT JOB_ID, JOB_NAME, RUN_TIME, POOL_ID, STATUS_ID, PARENT_JOB_ID, PREVIOUS_JOB_ID, SERVICE_NAME, LOADER_NAME, MAX_RETRY, CURRENT_RETRY_COUNT, AUTH_USER_LOGIN_ID, RUN_AS_USER, RUNTIME_DATA_ID, RECURRENCE_INFO_ID, TEMP_EXPR_ID, CURRENT_RECURRENCE_COUNT, MAX_RECURRENCE_COUNT, RUN_BY_INSTANCE_ID, START_DATE_TIME, FINISH_DATE_TIME, CANCEL_DATE_TIME, JOB_RESULT, LAST_UPDATED_STAMP, LAST_UPDATED_TX_STAMP, CREATED_STAMP, CREATED_TX_STAMP FROM public.JOB_SANDBOX WHERE (((RUN_TIME <= ? AND START_DATE_TIME IS NULL AND CANCEL_DATE_TIME IS NULL AND RUN_BY_INSTANCE_ID IS NULL) AND (POOL_ID IS NULL OR POOL_ID = ?))) ORDER BY RUN_TIME ASC where clause:[RUN_TIME=2016-10-23 00:01:53.795, POOL_ID=pool]
2016-10-23 00:03:55,352 |OFBiz-JobQueue-1     |PersistedServiceJob           |I| Job  [Send Email] Id [11217] -- Next runtime: Sun Oct 23 00:18:55 IST 2016
2016-10-23 00:03:55,630 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Auto-create Fixed Asset Maintenances] Id [11201] -- Next runtime: Sun Oct 23 01:03:55 IST 2016
2016-10-23 00:03:58,991 |OFBiz-JobQueue-0     |GenericDAO                    |T| Ran query in 1257 milli-seconds:  EntityName: UserLoginSecurityGroup Sql: SELECT USER_LOGIN_ID, GROUP_ID, FROM_DATE, THRU_DATE, LAST_UPDATED_STAMP, LAST_UPDATED_TX_STAMP, CREATED_STAMP, CREATED_TX_STAMP FROM public.USER_LOGIN_SECURITY_GROUP WHERE ((USER_LOGIN_ID = ?)) where clause:[USER_LOGIN_ID=system]
2016-10-23 00:04:00,099 |OFBiz-JobQueue-1     |GenericDAO                    |T| Ran query in 3647 milli-seconds:  EntityName: CommunicationEvent Sql: SELECT COMMUNICATION_EVENT_ID, COMMUNICATION_EVENT_TYPE_ID, ORIG_COMM_EVENT_ID, PARENT_COMM_EVENT_ID, STATUS_ID, CONTACT_MECH_TYPE_ID, CONTACT_MECH_ID_FROM, CONTACT_MECH_ID_TO, ROLE_TYPE_ID_FROM, ROLE_TYPE_ID_TO, PARTY_ID_FROM, PARTY_ID_TO, ENTRY_DATE, DATETIME_STARTED, DATETIME_ENDED, SUBJECT, CONTENT_MIME_TYPE_ID, CONTENT, NOTE, REASON_ENUM_ID, CONTACT_LIST_ID, HEADER_STRING, FROM_STRING, TO_STRING, CC_STRING, BCC_STRING, MESSAGE_ID, LAST_UPDATED_STAMP, LAST_UPDATED_TX_STAMP, CREATED_STAMP, CREATED_TX_STAMP FROM public.COMMUNICATION_EVENT WHERE (((COMMUNICATION_EVENT_TYPE_ID = ? OR COMMUNICATION_EVENT_TYPE_ID = ?) AND STATUS_ID = ? AND (DATETIME_STARTED < ? OR DATETIME_STARTED IS NULL))) where clause:[COMMUNICATION_EVENT_TYPE_ID=EMAIL_COMMUNICATION, COMMUNICATION_EVENT_TYPE_ID=AUTO_EMAIL_COMM, STATUS_ID=COM_IN_PROGRESS, DATETIME_STARTED=2016-10-23 00:03:56.449]
2016-10-23 00:04:00,105 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [4752] milliseconds
2016-10-23 00:04:00,603 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/fixedAssetPermissionCheck] finished in [4972] milliseconds
2016-10-23 00:04:05,524 |OFBiz-JobQueue-0     |GenericDAO                    |T| Ran query in 3934 milli-seconds:  EntityName: FixedAsset Sql: SELECT FIXED_ASSET_ID, FIXED_ASSET_TYPE_ID, PARENT_FIXED_ASSET_ID, INSTANCE_OF_PRODUCT_ID, CLASS_ENUM_ID, PARTY_ID, ROLE_TYPE_ID, FIXED_ASSET_NAME, ACQUIRE_ORDER_ID, ACQUIRE_ORDER_ITEM_SEQ_ID, DATE_ACQUIRED, DATE_LAST_SERVICED, DATE_NEXT_SERVICE, EXPECTED_END_OF_LIFE, ACTUAL_END_OF_LIFE, PRODUCTION_CAPACITY, UOM_ID, CALENDAR_ID, SERIAL_NUMBER, LOCATED_AT_FACILITY_ID, LOCATED_AT_LOCATION_SEQ_ID, SALVAGE_VALUE, DEPRECIATION, PURCHASE_COST, PURCHASE_COST_UOM_ID, LAST_UPDATED_STAMP, LAST_UPDATED_TX_STAMP, CREATED_STAMP, CREATED_TX_STAMP FROM public.FIXED_ASSET WHERE ((INSTANCE_OF_PRODUCT_ID IS NOT NULL AND ACTUAL_END_OF_LIFE IS NULL)) where clause:[]
2016-10-23 00:04:08,620 |OFBiz-JobQueue-0     |GenericDAO                    |T| Ran query in 3068 milli-seconds:  EntityName: ProductMaint Sql: SELECT PRODUCT_ID, PRODUCT_MAINT_SEQ_ID, PRODUCT_MAINT_TYPE_ID, MAINT_NAME, MAINT_TEMPLATE_WORK_EFFORT_ID, INTERVAL_QUANTITY, INTERVAL_UOM_ID, INTERVAL_METER_TYPE_ID, REPEAT_COUNT, LAST_UPDATED_STAMP, LAST_UPDATED_TX_STAMP, CREATED_STAMP, CREATED_TX_STAMP FROM public.PRODUCT_MAINT WHERE ((PRODUCT_ID = ? AND INTERVAL_UOM_ID LIKE ?)) where clause:[PRODUCT_ID=FORKLIFT_PROPANE, INTERVAL_UOM_ID=TF_%]
2016-10-23 00:04:08,647 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/createMaintsFromTimeInterval] finished in [13016] milliseconds
2016-10-23 00:12:45,918 |-0.0.0.0-8443-exec-2 |ControlEventListener          |I| Creating session: 29C79CE65F315475CFECD5E328E3B8EB.jvm1
2016-10-23 00:12:51,991 |-0.0.0.0-8443-exec-3 |ControlServlet                |T| [[[main(Domain:https://localhost)] Request Begun, encoding=[UTF-8]- total:0.0,since last(Begin):0.001]]
2016-10-23 00:12:52,066 |-0.0.0.0-8443-exec-3 |VisitHandler                  |I| Found visitorId [10000] in cookie
2016-10-23 00:12:52,292 |-0.0.0.0-8443-exec-3 |TransactionUtil               |W| No transaction in place, so not suspending.
2016-10-23 00:12:52,436 |-0.0.0.0-8443-exec-3 |SequenceUtil                  |I| Got bank of sequenced IDs for [Visit]; curSeqId=11200, maxSeqId=11300, bankSize=100
2016-10-23 00:12:53,093 |-0.0.0.0-8443-exec-3 |ConfigXMLReader               |I| controller loaded: 0.02s, 249 requests, 100 views in jndi:/0.0.0.0/partymgr/WEB-INF/controller.xml
2016-10-23 00:12:53,168 |-0.0.0.0-8443-exec-3 |ConfigXMLReader               |I| controller loaded: 0.002s, 39 requests, 19 views in file:/C:/Users/Windows/git/IMSProject/IMS/framework/common/webcommon/WEB-INF/common-controller.xml
2016-10-23 00:12:53,196 |-0.0.0.0-8443-exec-3 |ConfigXMLReader               |I| controller loaded: 0.0s, 0 requests, 0 views in file:/C:/Users/Windows/git/IMSProject/IMS/framework/common/webcommon/WEB-INF/handlers-controller.xml
